Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Note
"FS","Suite of Food Security Indicators","004","Afghanistan","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20092011","2009-2011","%","104",""
"FS","Suite of Food Security Indicators","004","Afghanistan","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20102012","2010-2012","%","106",""
"FS","Suite of Food Security Indicators","004","Afghanistan","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20112013","2011-2013","%","105",""
"FS","Suite of Food Security Indicators","004","Afghanistan","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20122014","2012-2014","%","107",""
"FS","Suite of Food Security Indicators","004","Afghanistan","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20132015","2013-2015","%","108",""
"FS","Suite of Food Security Indicators","004","Afghanistan","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20142016","2014-2016","%","108",""
"FS","Suite of Food Security Indicators","004","Afghanistan","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20152017","2015-2017","%","108",""
"FS","Suite of Food Security Indicators","004","Afghanistan","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20162018","2016-2018","%","108",""
"FS","Suite of Food Security Indicators","004","Afghanistan","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20172019","2017-2019","%","107",""
"FS","Suite of Food Security Indicators","004","Afghanistan","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20182020","2018-2020","%","106",""
"FS","Suite of Food Security Indicators","004","Afghanistan","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20192021","2019-2021","%","106",""
"FS","Suite of Food Security Indicators","004","Afghanistan","6121","Value","21012","Share of dietary energy supply derived from cereals, roots and tubers (kcal/cap/day) (3-year average)","20092011","2009-2011","%","76",""
"FS","Suite of Food Security Indicators","004","Afghanistan","6121","Value","21012","Share of dietary energy supply derived from cereals, roots and tubers (kcal/cap/day) (3-year average)","20102012","2010-2012","%","74",""
"FS","Suite of Food Security Indicators","004","Afghanistan","6121","Value","21012","Share of dietary energy supply derived from cereals, roots and tubers (kcal/cap/day) (3-year average)","20112013","2011-2013","%","73",""
"FS","Suite of Food Security Indicators","004","Afghanistan","6121","Value","21012","Share of dietary energy supply derived from cereals, roots and tubers (kcal/cap/day) (3-year average)","20122014","2012-2014","%","72",""
"FS","Suite of Food Security Indicators","004","Afghanistan","6121","Value","21012","Share of dietary energy supply derived from cereals, roots and tubers (kcal/cap/day) (3-year average)","20132015","2013-2015","%","72",""
"FS","Suite of Food Security Indicators","004","Afghanistan","6121","Value","21012","Share of dietary energy supply derived from cereals, roots and tubers (kcal/cap/day) (3-year average)","20142016","2014-2016","%","72",""
"FS","Suite of Food Security Indicators","004","Afghanistan","6121","Value","21012","Share of dietary energy supply derived from cereals, roots and tubers (kcal/cap/day) (3-year average)","20152017","2015-2017","%","72",""
