Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBS","Food Balances (2010-)","004","Afghanistan","5511","Production","F2511","Wheat and products","2010","2010","1000 t","4532","I","Imputed value"
"FBS","Food Balances (2010-)","004","Afghanistan","5511","Production","F2511","Wheat and products","2011","2011","1000 t","3388","I","Imputed value"
"FBS","Food Balances (2010-)","004","Afghanistan","5511","Production","F2511","Wheat and products","2012","2012","1000 t","5050","I","Imputed value"
"FBS","Food Balances (2010-)","004","Afghanistan","5511","Production","F2511","Wheat and products","2013","2013","1000 t","5169","I","Imputed value"
"FBS","Food Balances (2010-)","004","Afghanistan","5511","Production","F2511","Wheat and products","2014","2014","1000 t","5370","I","Imputed value"
"FBS","Food Balances (2010-)","004","Afghanistan","5511","Production","F2511","Wheat and products","2015","2015","1000 t","4673","I","Imputed value"
"FBS","Food Balances (2010-)","004","Afghanistan","5511","Production","F2511","Wheat and products","2016","2016","1000 t","4555","I","Imputed value"
"FBS","Food Balances (2010-)","004","Afghanistan","5511","Production","F2511","Wheat and products","2017","2017","1000 t","4281","I","Imputed value"
"FBS","Food Balances (2010-)","004","Afghanistan","5511","Production","F2511","Wheat and products","2018","2018","1000 t","3613","I","Imputed value"
"FBS","Food Balances (2010-)","004","Afghanistan","5511","Production","F2511","Wheat and products","2019","2019","1000 t","4890","I","Imputed value"
"FBS","Food Balances (2010-)","004","Afghanistan","5511","Production","F2511","Wheat and products","2020","2020","1000 t","5185","I","Imputed value"
"FBS","Food Balances (2010-)","004","Afghanistan","5611","Import Quantity","F2511","Wheat and products","2010","2010","1000 t","1860","I","Imputed value"
"FBS","Food Balances (2010-)","004","Afghanistan","5611","Import Quantity","F2511","Wheat and products","2011","2011","1000 t","2222","I","Imputed value"
"FBS","Food Balances (2010-)","004","Afghanistan","5611","Import Quantity","F2511","Wheat and products","2012","2012","1000 t","1633","I","Imputed value"
"FBS","Food Balances (2010-)","004","Afghanistan","5611","Import Quantity","F2511","Wheat and products","2013","2013","1000 t","1812","I","Imputed value"
"FBS","Food Balances (2010-)","004","Afghanistan","5611","Import Quantity","F2511","Wheat and products","2014","2014","1000 t","1466","I","Imputed value"
"FBS","Food Balances (2010-)","004","Afghanistan","5611","Import Quantity","F2511","Wheat and products","2015","2015","1000 t","1907","I","Imputed value"
"FBS","Food Balances (2010-)","004","Afghanistan","5611","Import Quantity","F2511","Wheat and products","2016","2016","1000 t","2771","I","Imputed value"
"FBS","Food Balances (2010-)","004","Afghanistan","5611","Import Quantity","F2511","Wheat and products","2017","2017","1000 t","3080","I","Imputed value"
"FBS","Food Balances (2010-)","004","Afghanistan","5611","Import Quantity","F2511","Wheat and products","2018","2018","1000 t","3419","I","Imputed value"
"FBS","Food Balances (2010-)","004","Afghanistan","5611","Import Quantity","F2511","Wheat and products","2019","2019","1000 t","2534","I","Imputed value"
"FBS","Food Balances (2010-)","004","Afghanistan","5611","Import Quantity","F2511","Wheat and products","2020","2020","1000 t","2741","I","Imputed value"
"FBS","Food Balances (2010-)","004","Afghanistan","5911","Export Quantity","F2511","Wheat and products","2014","2014","1000 t","0","I","Imputed value"
"FBS","Food Balances (2010-)","004","Afghanistan","5911","Export Quantity","F2511","Wheat and products","2015","2015","1000 t","0","I","Imputed value"
"FBS","Food Balances (2010-)","004","Afghanistan","5911","Export Quantity","F2511","Wheat and products","2016","2016","1000 t","0","I","Imputed value"
"FBS","Food Balances (2010-)","004","Afghanistan","5911","Export Quantity","F2511","Wheat and products","2017","2017","1000 t","2","I","Imputed value"
"FBS","Food Balances (2010-)","004","Afghanistan","5911","Export Quantity","F2511","Wheat and products","2018","2018","1000 t","0","I","Imputed value"
"FBS","Food Balances (2010-)","004","Afghanistan","5911","Export Quantity","F2511","Wheat and products","2019","2019","1000 t","0","I","Imputed value"
"FBS","Food Balances (2010-)","004","Afghanistan","5911","Export Quantity","F2511","Wheat and products","2020","2020","1000 t","0","I","Imputed value"
"FBS","Food Balances (2010-)","004","Afghanistan","5511","Production","F2807","Rice and products","2010","2010","1000 t","672","I","Imputed value"
"FBS","Food Balances (2010-)","004","Afghanistan","5511","Production","F2807","Rice and products","2011","2011","1000 t","672","I","Imputed value"
"FBS","Food Balances (2010-)","004","Afghanistan","5511","Production","F2807","Rice and products","2012","2012","1000 t","500","I","Imputed value"
"FBS","Food Balances (2010-)","004","Afghanistan","5511","Production","F2807","Rice and products","2013","2013","1000 t","512","I","Imputed value"
"FBS","Food Balances (2010-)","004","Afghanistan","5511","Production","F2807","Rice and products","2014","2014","1000 t","537","I","Imputed value"
"FBS","Food Balances (2010-)","004","Afghanistan","5511","Production","F2807","Rice and products","2015","2015","1000 t","410","I","Imputed value"
"FBS","Food Balances (2010-)","004","Afghanistan","5511","Production","F2807","Rice and products","2016","2016","1000 t","357","I","Imputed value"
"FBS","Food Balances (2010-)","004","Afghanistan","5511","Production","F2807","Rice and products","2017","2017","1000 t","338","I","Imputed value"
"FBS","Food Balances (2010-)","004","Afghanistan","5511","Production","F2807","Rice and products","2018","2018","1000 t","352","I","Imputed value"
